SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	0	0	3483	1549	5840	197	61269	72	72410
19	0	10	7265	65	11759	309	231223	14	250645
20	0	9	24925	114	36017	132	105718	266	167181
21	0	0	117930	267	137498	3410	354443	1169	614717
22	0	24	445860	8315	74732	149	204644	366	734090
23	0	5	131150	0	17914	245	136486	117	285917
24	0	12	28963	0	9308	78	42137	3	80501
25	0	3	25467	249	5133	61	18162	7	49082
26	0	0	12555	0	3008	25	12851	0	28439
27	0	0	5332	0	2039	12	3564	0	10947
28	0	0	1792	0	1228	53	6773	3	9849
29	0	0	574	0	615	10	1774	0	2973
30	0	0	273	0	816	9	42	0	1140
