SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	0	2	126	13	21629	314	13730	7	35821
19	0	12	256	2	35352	788	22395	11	58816
20	0	121	843	22	50519	956	30323	45	82829
21	0	522	2699	46	192393	3910	118542	64	318176
22	0	272	8049	21	131434	3320	50147	14	193257
23	0	1259	5037	64	113507	10252	25567	36	155722
24	0	1676	5564	0	152554	12317	20592	6	192709
25	0	34	575	2	10062	131	8123	0	18927
26	0	0	293	0	423	3	223	0	942
27	0	0	124	0	1712	0	1633	0	3469
28	0	0	39	0	3902	0	3879	0	7820
29	0	0	16	0	65	0	53	0	134
30	0	0	2	0	64	0	62	0	128
