SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	1095	102	16148	3446	82327	5992	101202	421	210733
19	851	130	32817	2076	233906	6815	294528	1478	572601
20	1508	487	121942	3805	148538	7435	187328	3481	474524
21	88687	2107	534811	71935	583449	31825	790080	41097	2143991
22	2812	1496	1847317	114279	435385	35132	535050	6010	2977481
23	3628	6807	539995	30055	405177	51896	206380	1555	1245493
24	6979	9775	146285	30383	528659	75136	102223	710	900150
25	410	329	100300	1322	18301	13939	41886	110	176597
26	225	0	57071	477	13356	15947	13500	10	100586
27	143	0	27107	657	9130	13422	8850	33	59342
28	178	10	8187	399	23622	29558	16677	6	78637
29	87	86	2609	247	9555	13166	1991	0	27741
30	56	0	1474	234	58918	41207	244	267	102400
