SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	1091	38	8036	2379	76784	4513	101054	126	194021
19	831	58	16134	1194	225631	4779	291517	139	540283
20	1489	403	56974	2135	129319	5601	185851	728	382500
21	88628	1778	239305	7050	516167	27819	666274	2799	1549820
22	2729	1127	894528	17271	405412	33073	346819	1574	1702533
23	3518	5489	274124	19420	384279	49165	205894	289	942178
24	6848	8373	82713	23296	507768	65198	102085	172	796453
25	396	204	57743	858	15828	1217	41864	7	118117
26	191	0	28786	96	4596	158	13500	0	47327
27	143	0	12584	132	3445	30	8850	0	25184
28	178	7	4111	140	2140	113	16677	3	23369
29	87	79	1414	75	2052	14	1947	0	5668
30	56	0	695	111	1258	10	244	0	2374
