SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	11359	0	3887	1859	110245	11196	61573	16785	216904
19	14981	14	8973	418	500217	226975	231422	11494	994494
20	15561	18	30133	792	190928	41913	106231	9042	394618
21	51898	15	170235	2383	589904	17429	355021	14500	1201385
22	151926	95	618193	23353	458035	32154	205639	14486	1503881
23	52719	27	188110	3669	304580	81258	138572	20676	789611
24	15280	12	34855	1338	292365	25119	42539	185886	597394
25	11486	4	26373	1271	115166	19135	18958	50357	242750
26	9145	6	13405	465	112027	75067	13313	10267	233695
27	8894	3	5618	1343	85129	25882	4919	38347	170135
28	9009	3	1926	1361	66770	38820	8125	20491	146505
29	6765	0	669	743	79768	22623	2541	48500	161609
30	5949	0	309	436	143361	74181	535	68618	293389
