SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	20928	47	296	384	48829	835	24383	483	96185
19	20754	45	579	481	81226	2608	37771	428	143892
20	30835	250	1582	1080	100042	3166	49603	319	186877
21	176352	1018	7559	4597	397759	23889	192390	730	804294
22	128254	704	19911	5659	313468	11224	82789	772	562781
23	173245	3630	12820	11967	323804	28179	42983	3019	599647
24	337524	5733	17032	28471	465734	43034	39252	2205	938985
25	3691	97	586	237	23655	481	15307	1987	46041
26	309	0	212	3	2055	199	407	429	3614
27	200	0	85	5	4437	116	3638	244	8725
28	133	0	15	2	6762	156	6027	145	13240
29	37	0	8	0	823	127	120	229	1344
30	38	0	1	0	746	167	140	258	1350
