SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	14315	30	193	631	17017	2998	13749	447	49380
19	13581	36	391	773	30625	2875	22414	279	70974
20	20517	168	1146	1267	35334	2719	30372	233	91756
21	112938	698	4593	6075	178004	18392	118644	532	439876
22	74220	585	12249	19909	153478	10248	50194	555	321438
23	99524	2110	9417	15081	174394	23699	25611	2024	351860
24	195444	3827	11504	33111	284199	36888	20597	1382	586952
25	2140	49	702	225	5206	390	8125	961	17798
26	135	0	314	27	1251	365	223	264	2579
27	71	0	139	51	568	102	1638	102	2671
28	81	0	43	11	472	142	3883	73	4705
29	35	0	17	7	452	182	55	144	892
30	25	0	2	3	521	251	62	198	1062
