SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	17438	30	596	14094	387487	12924	26085	345747	804401
19	17925	42	2297	21529	501793	229907	40276	237617	1051386
20	25710	42	9887	13411	210373	42695	23839	155432	481389
21	88346	152	62435	248780	475656	20214	486501	126254	1508338
22	203319	262	195637	411106	743632	47563	772497	167995	2542011
23	86630	509	64122	87294	1071520	87224	155921	841169	2394389
24	90629	1038	9689	89985	2662740	32660	148609	2478962	5514312
25	11826	24	1176	21033	6152055	19594	39942	6091940	12337590
26	8569	6	1051	36377	5622729	75739	71068	5502892	11318431
27	8231	3	395	122135	1458281	26105	242388	1299813	3157351
28	8420	6	312	324994	6070946	38946	648997	5712169	12804790
29	6534	3	242	74496	4201483	22702	148341	4102629	8556430
30	6616	0	124	74243	2607599	74215	147103	2465214	5375114
