SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	43233	100	887	2856	114998	40450	424	26460	229408
19	44305	119	3247	3420	408966	294366	321	21221	775965
20	64547	207	7796	5200	148469	150424	738	17987	395368
21	240964	764	61194	27776	469682	89836	1060	31803	923079
22	326522	1264	195914	74117	526151	113915	1525	55654	1295062
23	300945	4382	78220	48111	525270	158593	3215	74705	1193441
24	512147	13955	27996	91130	803349	134611	689	219094	1802971
25	16099	106	1451	3003	155094	43926	1518	79588	300785
26	8568	6	999	3101	662097	117687	790	540182	1333430
27	8199	3	395	8224	139362	108468	2634	70110	337395
28	8502	3	185	14194	139215	77881	2639	74844	317463
29	6488	0	191	4096	171420	77434	1447	120064	381140
30	5854	0	57	4850	514673	123630	841	411248	1061153
